readName,readClass
m84074_240804_073425_s4/242421784/ccs,CTCR-M
m84074_240804_073425_s4/256971235/ccs,CTCR-M
m84074_240804_073425_s4/255857311/ccs,CTCR-M
m84074_240804_073425_s4/210966168/ccs,CTCR-R
m84074_240804_073425_s4/211162373/ccs,CTCR-R
m84074_240804_073425_s4/211946545/ccs,CTCR-R
m84074_240804_073425_s4/211947225/ccs,CTCR-R
m84074_240804_073425_s4/212340609/ccs,CTCR-R
m84074_240804_073425_s4/216272730/ccs,CTCR-R
m84074_240804_073425_s4/216864445/ccs,CTCR-R
m84074_240804_073425_s4/217124958/ccs,CTCR-R
m84074_240804_073425_s4/217257095/ccs,CTCR-R
m84074_240804_073425_s4/220010013/ccs,CTCR-R
m84074_240804_073425_s4/220140764/ccs,CTCR-R
m84074_240804_073425_s4/220532610/ccs,CTCR-R
m84074_240804_073425_s4/220730048/ccs,CTCR-R
m84074_240804_073425_s4/220926079/ccs,CTCR-R
m84074_240804_073425_s4/221647597/ccs,CTCR-R
m84074_240804_073425_s4/221648585/ccs,CTCR-R
m84074_240804_073425_s4/222172676/ccs,CTCR-R
m84074_240804_073425_s4/222303649/ccs,CTCR-R
m84074_240804_073425_s4/222695180/ccs,CTCR-R
m84074_240804_073425_s4/222696654/ccs,CTCR-R
m84074_240804_073425_s4/223417495/ccs,CTCR-R
m84074_240804_073425_s4/223612959/ccs,CTCR-R
m84074_240804_073425_s4/227872897/ccs,CTCR-R
m84074_240804_073425_s4/228267302/ccs,CTCR-R
m84074_240804_073425_s4/228920936/ccs,CTCR-R
m84074_240804_073425_s4/228986138/ccs,CTCR-R
m84074_240804_073425_s4/229248486/ccs,CTCR-R
m84074_240804_073425_s4/234755718/ccs,CTCR-R
m84074_240804_073425_s4/237835131/ccs,CTCR-R
m84074_240804_073425_s4/237965601/ccs,CTCR-R
m84074_240804_073425_s4/238228982/ccs,CTCR-R
m84074_240804_073425_s4/238751302/ccs,CTCR-R
m84074_240804_073425_s4/239866758/ccs,CTCR-R
m84074_240804_073425_s4/240457184/ccs,CTCR-R
m84074_240804_073425_s4/240915532/ccs,CTCR-R
m84074_240804_073425_s4/241636108/ccs,CTCR-R
m84074_240804_073425_s4/241702200/ccs,CTCR-R
m84074_240804_073425_s4/241768167/ccs,CTCR-R
m84074_240804_073425_s4/243207419/ccs,CTCR-R
m84074_240804_073425_s4/243666157/ccs,CTCR-R
m84074_240804_073425_s4/243734059/ccs,CTCR-R
m84074_240804_073425_s4/243798798/ccs,CTCR-R
m84074_240804_073425_s4/244388163/ccs,CTCR-R
m84074_240804_073425_s4/244453872/ccs,CTCR-R
m84074_240804_073425_s4/244584225/ccs,CTCR-R
m84074_240804_073425_s4/244715159/ccs,CTCR-R
m84074_240804_073425_s4/244911667/ccs,CTCR-R
m84074_240804_073425_s4/245501593/ccs,CTCR-R
m84074_240804_073425_s4/245503095/ccs,CTCR-R
m84074_240804_073425_s4/245699114/ccs,CTCR-R
m84074_240804_073425_s4/245831301/ccs,CTCR-R
m84074_240804_073425_s4/245960981/ccs,CTCR-R
m84074_240804_073425_s4/246418622/ccs,CTCR-R
m84074_240804_073425_s4/246419078/ccs,CTCR-R
m84074_240804_073425_s4/246484886/ccs,CTCR-R
m84074_240804_073425_s4/246879887/ccs,CTCR-R
m84074_240804_073425_s4/246943737/ccs,CTCR-R
m84074_240804_073425_s4/247271562/ccs,CTCR-R
m84074_240804_073425_s4/247599592/ccs,CTCR-R
m84074_240804_073425_s4/247795210/ccs,CTCR-R
m84074_240804_073425_s4/248123769/ccs,CTCR-R
m84074_240804_073425_s4/248319742/ccs,CTCR-R
m84074_240804_073425_s4/248450425/ccs,CTCR-R
m84074_240804_073425_s4/248515808/ccs,CTCR-R
m84074_240804_073425_s4/248582577/ccs,CTCR-R
m84074_240804_073425_s4/248583370/ccs,CTCR-R
m84074_240804_073425_s4/248648566/ccs,CTCR-R
m84074_240804_073425_s4/248780470/ccs,CTCR-R
m84074_240804_073425_s4/248844116/ccs,CTCR-R
m84074_240804_073425_s4/248910641/ccs,CTCR-R
m84074_240804_073425_s4/249236607/ccs,CTCR-R
m84074_240804_073425_s4/249892271/ccs,CTCR-R
m84074_240804_073425_s4/250353389/ccs,CTCR-R
m84074_240804_073425_s4/250418655/ccs,CTCR-R
m84074_240804_073425_s4/250549683/ccs,CTCR-R
m84074_240804_073425_s4/250746322/ccs,CTCR-R
m84074_240804_073425_s4/251597323/ccs,CTCR-R
m84074_240804_073425_s4/251923735/ccs,CTCR-R
m84074_240804_073425_s4/251989812/ccs,CTCR-R
m84074_240804_073425_s4/251990730/ccs,CTCR-R
m84074_240804_073425_s4/252710693/ccs,CTCR-R
m84074_240804_073425_s4/253629264/ccs,CTCR-R
m84074_240804_073425_s4/253695806/ccs,CTCR-R
m84074_240804_073425_s4/254481805/ccs,CTCR-R
m84074_240804_073425_s4/255071813/ccs,CTCR-R
m84074_240804_073425_s4/255202028/ccs,CTCR-R
m84074_240804_073425_s4/255332578/ccs,CTCR-R
m84074_240804_073425_s4/256185103/ccs,CTCR-R
m84074_240804_073425_s4/256708885/ccs,CTCR-R
m84074_240804_073425_s4/256841170/ccs,CTCR-R
m84074_240804_073425_s4/256971628/ccs,CTCR-R
m84074_240804_073425_s4/257559936/ccs,CTCR-R
m84074_240804_073425_s4/257757436/ccs,CTCR-R
m84074_240804_073425_s4/257824378/ccs,CTCR-R
m84074_240804_073425_s4/258280505/ccs,CTCR-R
m84074_240804_073425_s4/259460307/ccs,CTCR-R
m84074_240804_073425_s4/259460663/ccs,CTCR-R
m84074_240804_073425_s4/259724972/ccs,CTCR-R
m84074_240804_073425_s4/259789188/ccs,CTCR-R
m84074_240804_073425_s4/259854981/ccs,CTCR-R
m84074_240804_073425_s4/260183105/ccs,CTCR-R
m84074_240804_073425_s4/260314252/ccs,CTCR-R
m84074_240804_073425_s4/260380090/ccs,CTCR-R
m84074_240804_073425_s4/260510729/ccs,CTCR-R
m84074_240804_073425_s4/260705814/ccs,CTCR-R
m84074_240804_073425_s4/260836553/ccs,CTCR-R
m84074_240804_073425_s4/261297344/ccs,CTCR-R
m84074_240804_073425_s4/261559687/ccs,CTCR-R
m84074_240804_073425_s4/261624186/ccs,CTCR-R
m84074_240804_073425_s4/261689361/ccs,CTCR-R
m84074_240804_073425_s4/262606314/ccs,CTCR-R
m84074_240804_073425_s4/262869893/ccs,CTCR-R
m84074_240804_073425_s4/263131347/ccs,CTCR-R
m84074_240804_073425_s4/263261896/ccs,CTCR-R
m84074_240804_073425_s4/263983471/ccs,CTCR-R
m84074_240804_073425_s4/265293840/ccs,CTCR-R
m84074_240804_073425_s4/265555173/ccs,CTCR-R
m84074_240804_073425_s4/266735629/ccs,CTCR-R
m84074_240804_073425_s4/267850073/ccs,CTCR-R
m84074_240804_073425_s4/267915157/ccs,CTCR-R
m84074_240804_073425_s4/239800926/ccs,CTCR-P
m84074_240804_073425_s4/239144110/ccs,CTCR-P
m84074_240804_073425_s4/241309002/ccs,CTCR-P
m84074_240804_073425_s4/252580489/ccs,CTCR-P
m84074_240804_073425_s4/251269870/ccs,CTCR-P
m84074_240804_073425_s4/238687984/ccs,CTCR-P
m84074_240804_073425_s4/260377867/ccs,CTCR-P
m84074_240804_073425_s4/249172715/ccs,CTCR-P
m84074_240804_073425_s4/267522977/ccs,CTCR-P
m84074_240804_073425_s4/223023418/ccs,CTCR-P
m84074_240804_073425_s4/247272528/ccs,CTCR-P
m84074_240804_073425_s4/260641263/ccs,CTCR-P
m84074_240804_073425_s4/216665625/ccs,CTCR-P
m84074_240804_073425_s4/246221872/ccs,CTCR-P
m84074_240804_073425_s4/257626934/ccs,CTCR-P
m84074_240804_073425_s4/264244636/ccs,CTCR-P
m84074_240804_073425_s4/244782170/ccs,CTCR-P
m84074_240804_073425_s4/261690886/ccs,CTCR-P
m84074_240804_073425_s4/221253483/ccs,CTCR-P
m84074_240804_073425_s4/244125531/ccs,CTCR-P
m84074_240804_073425_s4/228265826/ccs,CTCR-P
m84074_240804_073425_s4/260968243/ccs,CTCR-P
m84074_240804_073425_s4/248452250/ccs,CTCR-P
m84074_240804_073425_s4/227741422/ccs,CTCR-P
m84074_240804_073425_s4/253889675/ccs,CTCR-P
m84074_240804_073425_s4/228659841/ccs,CTCR-P
m84074_240804_073425_s4/256249364/ccs,CTCR-P
m84074_240804_073425_s4/239079276/ccs,CTCR-P
m84074_240804_073425_s4/221843604/ccs,CTCR-P
m84074_240804_073425_s4/234426664/ccs,CTCR-P
m84074_240804_073425_s4/255660392/ccs,CTCR-P
m84074_240804_073425_s4/241766185/ccs,CTCR-P
m84074_240804_073425_s4/263130884/ccs,CTCR-P
m84074_240804_073425_s4/254677546/ccs,CTCR-P
m84074_240804_073425_s4/217585060/ccs,CTCR-P
m84074_240804_073425_s4/263982864/ccs,CTCR-P
m84074_240804_073425_s4/240260195/ccs,CTCR-P
m84074_240804_073425_s4/262082439/ccs,CTCR-P
m84074_240804_073425_s4/251269749/ccs,CTCR-P
m84074_240804_073425_s4/260771535/ccs,CTCR-P
m84074_240804_073425_s4/263001752/ccs,CTCR-P
m84074_240804_073425_s4/266538170/ccs,CTCR-P
m84074_240804_073425_s4/260051925/ccs,CTCR-P
m84074_240804_073425_s4/217190597/ccs,CTCR-P
m84074_240804_073425_s4/248517604/ccs,CTCR-P
m84074_240804_073425_s4/255070465/ccs,CTCR-P
m84074_240804_073425_s4/262149742/ccs,CTCR-P
m84074_240804_073425_s4/239865424/ccs,CTCR-P
m84074_240804_073425_s4/241177290/ccs,CTCR-P
m84074_240804_073425_s4/253955738/ccs,CTCR-P
m84074_240804_073425_s4/259395666/ccs,CTCR-P
m84074_240804_073425_s4/216470559/ccs,CTCR-P
m84074_240804_073425_s4/221319558/ccs,CTCR-P
m84074_240804_073425_s4/243275175/ccs,CTCR-P
m84074_240804_073425_s4/239866616/ccs,CTCR-P
m84074_240804_073425_s4/254874237/ccs,CTCR-P
m84074_240804_073425_s4/238686949/ccs,CTCR-P
m84074_240804_073425_s4/223154115/ccs,CTCR-P
m84074_240804_073425_s4/256445484/ccs,CTCR-P
m84074_240804_073425_s4/250089887/ccs,CTCR-P
m84074_240804_073425_s4/228920798/ccs,CTCR-P
m84074_240804_073425_s4/253367317/ccs,CTCR-P
m84074_240804_073425_s4/217650772/ccs,CTCR-P
m84074_240804_073425_s4/254351006/ccs,CTCR-P
m84074_240804_073425_s4/210769093/ccs,CTCR-P
m84074_240804_073425_s4/248909969/ccs,CTCR-P
m84074_240804_073425_s4/217716073/ccs,CTCR-P
m84074_240804_073425_s4/262542886/ccs,CTCR-P
m84074_240804_073425_s4/255005002/ccs,CTCR-P
m84074_240804_073425_s4/222761803/ccs,CTCR-P
m84074_240804_073425_s4/222957375/ccs,CTCR-P
